source,target,type
JAPANESE PRINTS,SYNTHETISM,solid
JAPANESE PRINTS,FAUVISM,solid
Van Gogh,FAUVISM,solid
SYNTHETISM,FAUVISM,solid
Cezanne,SYNTHETISM,solid
Cezanne,FAUVISM,solid
Cezanne,CUBISM,solid
NEO-IMPRESSIONISM,FAUVISM,solid
NEO-IMPRESSIONISM,FUTURISM,solid
NEO-IMPRESSIONISM,CUBISM,solid
Rousseau,CUBISM,solid
Redon,(ABSTRACT) EXPRESSIONISM,dashed
Redon,(ABSTRACT) SURREALISM,dashed
NEAR-EASTERN ART,FAUVISM,solid
NEAR-EASTERN ART,(ABSTRACT) EXPRESSIONISM,solid
FAUVISM,(ABSTRACT) EXPRESSIONISM,solid
NEGRO SCULPTURE,FAUVISM,solid
NEGRO SCULPTURE,CUBISM,solid
CUBISM,FUTURISM,solid
CUBISM,ORPHISM,solid
CUBISM,(ABSTRACT) DADAISM,solid
CUBISM,PURISM,solid
CUBISM,DE STIJL and NEOPLASTICISM,solid
CUBISM,SUPREMATISM,solid
CUBISM,CONSTRUCTIVISM,solid
MACHINE ESTHETIC,FUTURISM,solid
MACHINE ESTHETIC,(ABSTRACT) DADAISM,solid
MACHINE ESTHETIC,Brancusi,dashed
MACHINE ESTHETIC,PURISM,solid
MACHINE ESTHETIC,MODERN ARCHITECTURE,solid
MACHINE ESTHETIC,DE STIJL and NEOPLASTICISM,solid
MACHINE ESTHETIC,BAUHAUS,solid
MACHINE ESTHETIC,SUPREMATISM,solid
MACHINE ESTHETIC,CONSTRUCTIVISM,solid
MACHINE ESTHETIC,CUBISM,solid
(ABSTRACT) EXPRESSIONISM,NON-GEOMETRICAL ABSTRACT ART,solid
(ABSTRACT) EXPRESSIONISM,BAUHAUS,solid
FUTURISM,(ABSTRACT) DADAISM,solid
Brancusi,NON-GEOMETRICAL ABSTRACT ART,solid
SUPREMATISM,BAUHAUS,solid
SUPREMATISM,GEOMETRICAL ABSTRACT ART,solid
CONSTRUCTIVISM,BAUHAUS,solid
CONSTRUCTIVISM,GEOMETRICAL ABSTRACT ART,solid
(ABSTRACT) DADAISM,(ABSTRACT) SURREALISM,solid
PURISM,MODERN ARCHITECTURE,dashed
DE STIJL and NEOPLASTICISM,MODERN ARCHITECTURE,dashed
DE STIJL and NEOPLASTICISM,GEOMETRICAL ABSTRACT ART,solid
DE STIJL and NEOPLASTICISM,BAUHAUS,solid
BAUHAUS,MODERN ARCHITECTURE,dashed
(ABSTRACT) SURREALISM,NON-GEOMETRICAL ABSTRACT ART,solid